t,E,Sigma_t,Sigma_E
0.05,0.10062,0.05,0.0265
0.1,0.10271,0.05,0.0289
0.15,0.10312,0.05,0.0116 
0.2,0.10381,0.05,0.0016 
0.25,0.10255,0.05,0.002 
0.3,0.10246,0.05,0.0075 
0.35,0.10342,0.05,0.0289 
0.4,0.10249,0.05,0.0367 
0.45,0.10389,0.05,0.0259 
0.5,0.10595,0.05,0.013
0.55,0.1048,0.05,0.002
0.6,0.10368,0.05,0.0052 
0.65,0.10151,0.05,0.0164 
0.7,0.09979,0.05,0.0246 
0.75,0.09967,0.05,0.0257
0.8,0.10074,0.05,0.0181
0.85,0.10176,0.05,0.0061 
0.9,0.10195,0.05,0.0015 
0.95,0.10106,0.05,0.0054 
1,0.10056,0.05,0.0166
1.05,0.09894,0.05,0.0265 
1.1,0.09865,0.05,0.0199 
1.15,0.10011,0.05,0.0139
1.2,0.10035,0.05,0.0029 
1.25,0.1005,0.05,0.0019 
1.3,0.10005,0.05,0.0046 
1.35,0.09872,0.05,0.0154 
1.4,0.09852,0.05,0.0214 
1.45,0.09676,0.05,0.0189 
1.5,0.09519,0.05,0.0041 
1.55,0.0963,0.05,0.0021 
1.6,0.0979,0.05,0.0017 
1.65,0.09706,0.05,0.009 
1.7,0.09568,0.05,0.0117 
1.75,0.09607,0.05,0.0159 
1.8,0.09726,0.05,0.0148 
1.85,0.09863,0.05,0.0083 
1.9,0.09959,0.05,0.0025 
1.95,0.0999,0.05,0.0019 
2,0.09898,0.05,0.0071 
2.05,0.09757,0.05,0.0149 
2.1,0.09687,0.05,0.0187 
2.15,0.0971,0.05,0.0161 
2.2,0.09753,0.05,0.0077 
2.25,0.09774,0.05,0.0015 
2.3,0.0975,0.05,0.0016 
2.35,0.09638,0.05,0.006 
2.4,0.09708,0.05,0.0126 
2.45,0.09762,0.05,0.0224 
2.5,0.09692,0.05,0.0127 
2.55,0.09815,0.05,0.0061 
2.6,0.09983,0.05,0.0028 
2.65,0.10069,0.05,0.002 
2.7,0.10263,0.05,0.0111 
2.75,0.09947,0.05,0.0302 
2.8,0.09828,0.05,0.0183 
2.85,0.10098,0.05,0.022 
2.9,0.10068,0.05,0.0055 
2.95,0.10122,0.05,0.0014 
3,0.10066,0.05,0.0023
3.05,0.10034,0.05,0.0108
3.1,0.09998,0.05,0.025 
3.15,0.09924,0.05,0.0253 
3.2,0.09844,0.05,0.0139 
3.25,0.09837,0.05,0.0031 
3.3,0.0991,0.05,0.0018 
3.35,0.09901,0.05,0.0036 
3.4,0.0959,0.05,0.0109 
3.45,0.09577,0.05,0.0096 
3.5,0.09625,0.05,0.0192 
3.55,0.0958,0.05,0.0087 
3.6,0.09714,0.05,0.0048 
3.65,0.09685,0.05,0.0014 
3.7,0.09696,0.05,0.0022 
3.75,0.09651,0.05,0.0107 
3.8,0.09582,0.05,0.0153 
3.85,0.0962,0.05,0.0149 
3.9,0.09704,0.05,0.0099 
3.95,0.09754,0.05,0.0029 
4,0.09769,0.05,0.0018
4.05,0.09749,0.05,0.0035 
4.1,0.09665,0.05,0.0119 
4.15,0.09568,0.05,0.0153 
4.2,0.09561,0.05,0.0135 
4.25,0.09617,0.05,0.0078 
4.3,0.09669,0.05,0.0022 
4.35,0.0967,0.05,0.0014 
4.4,0.09632,0.05,0.004 
4.45,0.09582,0.05,0.011 
4.5,0.09541,0.05,0.0148 
4.55,0.09626,0.05,0.0133 
4.6,0.09736,0.05,0.0086 
4.65,0.09739,0.05,0.0019 
4.7,0.09721,0.05,0.0018 
4.75,0.09641,0.05,0.0058 
4.8,0.09529,0.05,0.0111 
4.85,0.09573,0.05,0.014 
4.9,0.09613,0.05,0.014 
4.95,0.09577,0.05,0.0042 
5,0.09654,0.05,0.0018
